type	latitude	longitude
T	49.874848000	8.656081000
T	49.129467500	8.818962200	
T	48.360745300	8.981843500	
T	47.567864300	9.144724700	
T	46.749992500	9.307605900	
T	45.906286100	9.470487200	
T	45.035892300	9.633368400	
T	44.137953400	9.796249600	
T	43.211611100	9.959130900	
T	42.256011700	10.122012100	
T	41.270312600	10.284893300	
T	40.253689000	10.447774600	
T	39.205342200	10.610655800	
T	38.124508100	10.773537000	
T	37.010467800	10.936418300	
T	35.862558600	11.099299500	
T	34.680186100	11.262180700	
T	33.462837700	11.425062000	
T	32.210097200	11.587943200	
T	30.921659400	11.750824400	
T	29.597346700	11.913705700	
T	28.237125200	12.076586900	
T	26.841121500	12.239468100	
T	25.409639600	12.402349400	
T	23.943176300	12.565230600	
T	22.442437100	12.728111800	
T	20.908348900	12.890993100	
T	19.342072000	13.053874300	
T	17.745008300	13.216755500	
T	16.118807000	13.379636800	
T	14.465365600	13.542518000	
T	12.786827400	13.705399200	
T	11.085573200	13.868280500	
T	9.364209000	14.031161700	
T	7.625547700	14.194042900	
T	5.872586500	14.356924200	
T	4.108478800	14.519805400	
T	2.336502800	14.682686600	
T	0.560025900	14.845567900	
T	-1.217532600	15.008449100	
T	-2.992741000	15.171330300	
T	-4.762194700	15.334211600	
T	-6.522555000	15.497092800	
T	-8.270585800	15.659974000	
T	-10.003188200	15.822855300	
T	-11.717430000	15.985736500	
T	-13.410572700	16.148617700	
T	-15.080091500	16.311499000	
T	-16.723692400	16.474380200	
T	-18.339322400	16.637261400	
T	-19.925175600	16.800142700	
T	-21.479694800	16.963023900	
T	-23.001568300	17.125905100	
T	-24.489723300	17.288786400	
T	-25.943316200	17.451667600	
T	-27.361720500	17.614548800	
T	-28.744512400	17.777430100	
T	-30.091455500	17.940311300	
T	-31.402484500	18.103192500	
T	-32.677688400	18.266073800	
T	-33.917294000	18.428955000	
