type	latitude	longitude
T	49.874848000	8.656081000
T	50.257201400	7.326947900	
T	50.618591900	5.997814700	
T	50.959616300	4.668681600	
T	51.280837000	3.339548500	
T	51.582782800	2.010415300	
T	51.865949600	0.681282200	
T	52.130801500	-0.647850900	
T	52.377771300	-1.976984100	
T	52.607261500	-3.306117200	
T	52.819645300	-4.635250300	
T	53.015266900	-5.964383500	
T	53.194442400	-7.293516600	
T	53.357460600	-8.622649700	
T	53.504583800	-9.951782900	
T	53.636047700	-11.280916000	
T	53.752062800	-12.610049100	
T	53.852814200	-13.939182300	
T	53.938462600	-15.268315400	
T	54.009144100	-16.597448500	
T	54.064971100	-17.926581700	
T	54.106032100	-19.255714800	
T	54.132392200	-20.584847900	
T	54.144093100	-21.913981100	
T	54.141153400	-23.243114200	
T	54.123568400	-24.572247300	
T	54.091310300	-25.901380500	
T	54.044328000	-27.230513600	
T	53.982546900	-28.559646700	
T	53.905869100	-29.888779900	
T	53.814172500	-31.217913000	
T	53.707311400	-32.547046100	
T	53.585115200	-33.876179300	
T	53.447388800	-35.205312400	
T	53.293911500	-36.534445500	
T	53.124436900	-37.863578700	
T	52.938692400	-39.192711800	
T	52.736378200	-40.521844900	
T	52.517166900	-41.850978100	
T	52.280702700	-43.180111200	
T	52.026601000	-44.509244300	
T	51.754447000	-45.838377500	
T	51.463795500	-47.167510600	
T	51.154169700	-48.496643700	
T	50.825060600	-49.825776900	
T	50.475926000	-51.154910000	
T	50.106189800	-52.484043100	
T	49.715241200	-53.813176300	
T	49.302433900	-55.142309400	
T	48.867085600	-56.471442500	
T	48.408477200	-57.800575700	
T	47.925852600	-59.129708800	
T	47.418418500	-60.458841900	
T	46.885344200	-61.787975100	
T	46.325761700	-63.117108200	
T	45.738766800	-64.446241300	
T	45.123419500	-65.775374500	
T	44.478745900	-67.104507600	
T	43.803739600	-68.433640700	
T	43.097365200	-69.762773900	
T	42.358561000	-71.091907000	
