type	latitude	longitude
T	49.874848000	8.656081000
T	51.353227900	10.770551100	
T	52.706207300	12.885021100	
T	53.944743300	14.999491200	
T	55.078771800	17.113961300	
T	56.117256200	19.228431300	
T	57.068251700	21.342901400	
T	57.938977400	23.457371500	
T	58.735888900	25.571841500	
T	59.464750600	27.686311600	
T	60.130702100	29.800781700	
T	60.738321200	31.915251700	
T	61.291680000	34.029721800	
T	61.794396000	36.144191900	
T	62.249677300	38.258661900	
T	62.660363400	40.373132000	
T	63.028959800	42.487602100	
T	63.357669600	44.602072100	
T	63.648420000	46.716542200	
T	63.902886100	48.831012300	
T	64.122510800	50.945482300	
T	64.308521600	53.059952400	
T	64.461945400	55.174422500	
T	64.583620300	57.288892500	
T	64.674205200	59.403362600	
T	64.734187100	61.517832700	
T	64.763887100	63.632302700	
T	64.763463700	65.746772800	
T	64.732914700	67.861242900	
T	64.672076900	69.975712900	
T	64.580624800	72.090183000	
T	64.458066500	74.204653100	
T	64.303738200	76.319123100	
T	64.116796600	78.433593200	
T	63.896209500	80.548063300	
T	63.640743300	82.662533300	
T	63.348948900	84.777003400	
T	63.019144600	86.891473500	
T	62.649395500	89.005943500	
T	62.237490500	91.120413600	
T	61.780915000	93.234883700	
T	61.276820000	95.349353700	
T	60.721986100	97.463823800	
T	60.112783800	99.578293900	
T	59.445127400	101.692763900	
T	58.714424200	103.807234000	
T	57.915517800	105.921704100	
T	57.042625500	108.036174100	
T	56.089271000	110.150644200	
T	55.048212800	112.265114300	
T	53.911371000	114.379584300	
T	52.669755700	116.494054400	
T	51.313402900	118.608524500	
T	49.831326300	120.722994500	
T	48.211498700	122.837464600	
T	46.440880200	124.951934700	
T	44.505520200	127.066404700	
T	42.390766700	129.180874800	
T	40.081626300	131.295344900	
T	37.563328000	133.409814900	
T	34.822146000	135.524285000
