type	latitude	longitude
T	49.874848000	8.656081000
T	50.301976500	8.148474400	
T	50.719398000	7.640867800	
T	51.127348300	7.133261200	
T	51.526057900	6.625654500	
T	51.915752200	6.118047900	
T	52.296651400	5.610441300	
T	52.668970300	5.102834700	
T	53.032918700	4.595228100	
T	53.388700900	4.087621500	
T	53.736516300	3.580014800	
T	54.076559000	3.072408200	
T	54.409018300	2.564801600	
T	54.734078200	2.057195000	
T	55.051918000	1.549588400	
T	55.362712100	1.041981800	
T	55.666630300	0.534375100	
T	55.963837500	0.026768500	
T	56.254494300	-0.480838100	
T	56.538756600	-0.988444700	
T	56.816776200	-1.496051300	
T	57.088700300	-2.003657900	
T	57.354672300	-2.511264600	
T	57.614831200	-3.018871200	
T	57.869312300	-3.526477800	
T	58.118246900	-4.034084400	
T	58.361762500	-4.541691000	
T	58.599983000	-5.049297600	
T	58.833028700	-5.556904300	
T	59.061016400	-6.064510900	
T	59.284059600	-6.572117500	
T	59.502268400	-7.079724100	
T	59.715749800	-7.587330700	
T	59.924607500	-8.094937300	
T	60.128942500	-8.602544000	
T	60.328852400	-9.110150600	
T	60.524432500	-9.617757200	
T	60.715774800	-10.125363800	
T	60.902969000	-10.632970400	
T	61.086101900	-11.140577000	
T	61.265257900	-11.648183700	
T	61.440518900	-12.155790300	
T	61.611964500	-12.663396900	
T	61.779671900	-13.171003500	
T	61.943715800	-13.678610100	
T	62.104169100	-14.186216700	
T	62.261102400	-14.693823400	
T	62.414584200	-15.201430000	
T	62.564680900	-15.709036600	
T	62.711457200	-16.216643200	
T	62.854975600	-16.724249800	
T	62.995297100	-17.231856400	
T	63.132480700	-17.739463100	
T	63.266583500	-18.247069700	
T	63.397661300	-18.754676300	
T	63.525768000	-19.262282900	
T	63.650955900	-19.769889500	
T	63.773275900	-20.277496100	
T	63.892777300	-20.785102800	
T	64.009507800	-21.292709400	
T	64.123514000	-21.800316000	
