type	latitude	longitude
T	49.874848000	8.656081000
T	51.933920100	10.867484000	
T	53.781954300	13.078887000	
T	55.442975200	15.290290000	
T	56.938214100	17.501692900	
T	58.286291600	19.713095900	
T	59.503461000	21.924498900	
T	60.603870700	24.135901900	
T	61.599820300	26.347304900	
T	62.501998200	28.558707900	
T	63.319694500	30.770110800	
T	64.060989100	32.981513800	
T	64.732914900	35.192916800	
T	65.341598600	37.404319800	
T	65.892380800	39.615722800	
T	66.389919300	41.827125700	
T	66.838276400	44.038528700	
T	67.240993100	46.249931700	
T	67.601152400	48.461334700	
T	67.921432700	50.672737700	
T	68.204152800	52.884140700	
T	68.451310200	55.095543700	
T	68.664613100	57.306946600	
T	68.845506900	59.518349600	
T	68.995196600	61.729752600	
T	69.114664900	63.941155600	
T	69.204686800	66.152558600	
T	69.265840500	68.363961600	
T	69.298516200	70.575364500	
T	69.302921600	72.786767500	
T	69.279084500	74.998170500	
T	69.226853600	77.209573500	
T	69.145896300	79.420976500	
T	69.035693600	81.632379500	
T	68.895533200	83.843782400	
T	68.724498600	86.055185400	
T	68.521456000	88.266588400	
T	68.285037100	90.477991400	
T	68.013618400	92.689394400	
T	67.705296000	94.900797400	
T	67.357855000	97.112200300	
T	66.968733900	99.323603300	
T	66.534981300	101.535006300	
T	66.053205400	103.746409300	
T	65.519514000	105.957812300	
T	64.929444200	108.169215200	
T	64.277878500	110.380618200	
T	63.558947700	112.592021200	
T	62.765916100	114.803424200	
T	61.891046800	117.014827200	
T	60.925446500	119.226230200	
T	59.858885000	121.437633100	
T	58.679590200	123.649036100	
T	57.374017500	125.860439100	
T	55.926598900	128.071842100	
T	54.319480400	130.283245100	
T	52.532269300	132.494648100	
T	50.541826200	134.706051000	
T	48.322164800	136.917454000	
T	45.844559600	139.128857000	
T	43.078012000	141.340260000	
