type	latitude	longitude
T	52.000844000	4.371367000
T	52.348378900	2.845018600	
T	52.671164800	1.318670300	
T	52.969922300	-0.207678100	
T	53.245315600	-1.734026500	
T	53.497954600	-3.260374800	
T	53.728396500	-4.786723200	
T	53.937147600	-6.313071600	
T	54.124664800	-7.839419900	
T	54.291357100	-9.365768300	
T	54.437586900	-10.892116700	
T	54.563670900	-12.418465000	
T	54.669881600	-13.944813400	
T	54.756448000	-15.471161800	
T	54.823556300	-16.997510100	
T	54.871350600	-18.523858500	
T	54.899933400	-20.050206900	
T	54.909366000	-21.576555200	
T	54.899668500	-23.102903600	
T	54.870820200	-24.629252000	
T	54.822759300	-26.155600300	
T	54.755382700	-27.681948700	
T	54.668545700	-29.208297100	
T	54.562061500	-30.734645400	
T	54.435700600	-32.260993800	
T	54.289189800	-33.787342200	
T	54.122211800	-35.313690500	
T	53.934403500	-36.840038900	
T	53.725355300	-38.366387300	
T	53.494609700	-39.892735600	
T	53.241659600	-41.419084000	
T	52.965947100	-42.945432400	
T	52.666861600	-44.471780700	
T	52.343738100	-45.998129100	
T	51.995855300	-47.524477500	
T	51.622433700	-49.050825800	
T	51.222633900	-50.577174200	
T	50.795554200	-52.103522600	
T	50.340229000	-53.629870900	
T	49.855627100	-55.156219300	
T	49.340649400	-56.682567700	
T	48.794128300	-58.208916000	
T	48.214826100	-59.735264400	
T	47.601434000	-61.261612800	
T	46.952572800	-62.787961100	
T	46.266792800	-64.314309500	
T	45.542575700	-65.840657900	
T	44.778336800	-67.367006200	
T	43.972429800	-68.893354600	
T	43.123151700	-70.419703000	
T	42.228751000	-71.946051300	
T	41.287438100	-73.472399700	
T	40.297397400	-74.998748100	
T	39.256804400	-76.525096400	
T	38.163845000	-78.051444800	
T	37.016740100	-79.577793200	
T	35.813773700	-81.104141500	
T	34.553327200	-82.630489900	
T	33.233918300	-84.156838300	
T	31.854245400	-85.683186600	
T	30.413238000	-87.209535000	
